Month,Demand,Unit_Price
2021-01-01,88,957698
2021-01-02,51,1066101
2021-01-03,43,570024
2021-01-04,66,1209914
2021-01-05,115,566828
2021-01-06,81,1158781
2021-01-07,110,535016
2021-01-08,107,911359
2021-01-09,34,1074049
2021-01-10,41,1248679
2021-01-11,75,742607
2021-01-12,34,1336396
2021-01-13,38,1235746
2021-01-14,25,968214
2021-01-15,108,789979
2021-01-16,36,1083387
2021-01-17,105,730163
2021-01-18,94,673778
2021-01-19,23,643005
2021-01-20,54,912872
2021-01-21,116,577387
2021-01-22,27,845761
2021-01-23,56,840319
2021-01-24,23,702237
2021-01-25,83,1088113
2021-01-26,43,1166601
2021-01-27,91,724288
2021-01-28,120,551014
2021-01-29,101,1281117
2021-01-30,83,1240216
2021-01-31,38,730958
2021-02-01,90,554749
2021-02-02,65,548635
2021-02-03,110,1008892
2021-02-04,36,1086141
2021-02-05,64,1120070
2021-02-06,25,706088
2021-02-07,25,704678
2021-02-08,99,795561
2021-02-09,65,959308
2021-02-10,88,1221405
2021-02-11,45,738561
2021-02-12,99,1049724
2021-02-13,48,683408
2021-02-14,114,1155057
2021-02-15,108,1090918
2021-02-16,61,1185732
2021-02-17,71,931984
2021-02-18,78,513636
2021-02-19,40,1155460
2021-02-20,114,546027
2021-02-21,110,1200557
2021-02-22,107,593424
2021-02-23,71,1307680
2021-02-24,51,579868
2021-02-25,39,585661
2021-02-26,61,855611
2021-02-27,99,821954
2021-02-28,102,848897
2021-03-01,50,782695
2021-03-02,109,1345147
2021-03-03,63,1124288
2021-03-04,66,597800
2021-03-05,36,883396
2021-03-06,59,964113
2021-03-07,120,631980
2021-03-08,47,774519
2021-03-09,36,1168693
2021-03-10,56,1206312
2021-03-11,98,814524
2021-03-12,70,844639
2021-03-13,38,705099
2021-03-14,29,1075863
2021-03-15,87,559438
2021-03-16,73,1142521
2021-03-17,101,1051098
2021-03-18,50,829976
2021-03-19,51,1231718
2021-03-20,35,734451
2021-03-21,50,1139064
2021-03-22,95,769662
2021-03-23,29,736114
2021-03-24,22,1042310
2021-03-25,94,861838
2021-03-26,45,1159559
2021-03-27,40,933238
2021-03-28,62,988516
2021-03-29,107,959713
2021-03-30,92,1271436
2021-03-31,21,528721
2021-04-01,109,1098594
2021-04-02,73,587416
2021-04-03,65,1029614
2021-04-04,116,615014
2021-04-05,32,765948
2021-04-06,27,816626
2021-04-07,36,538358
2021-04-08,87,891115
2021-04-09,89,519515
2021-04-10,81,1199362
2021-04-11,108,662684
2021-04-12,70,704494
2021-04-13,25,531823
2021-04-14,103,1052193
2021-04-15,91,1315538
2021-04-16,88,685162
2021-04-17,34,701317
2021-04-18,96,956103
2021-04-19,60,655658
2021-04-20,102,938591
2021-04-21,99,846325
2021-04-22,49,1094137
2021-04-23,58,1108673
2021-04-24,27,1167460
2021-04-25,59,1268908
2021-04-26,53,1224508
2021-04-27,85,578414
2021-04-28,79,912274
2021-04-29,97,1309492
2021-04-30,61,958881
2021-05-01,57,570250
2021-05-02,42,861054
2021-05-03,51,1332921
2021-05-04,31,580927
2021-05-05,69,889223
2021-05-06,45,581310
2021-05-07,108,1149229
2021-05-08,101,741444
2021-05-09,38,1155423
2021-05-10,23,1260618
2021-05-11,69,1235817
2021-05-12,100,1127470
2021-05-13,55,623308
2021-05-14,53,1242803
2021-05-15,95,1069130
2021-05-16,44,768645
2021-05-17,91,626509
2021-05-18,107,935358
2021-05-19,98,1003886
2021-05-20,116,1321695
2021-05-21,49,677388
2021-05-22,22,1143976
2021-05-23,72,846275
2021-05-24,22,564392
2021-05-25,24,1008735
2021-05-26,88,1042635
2021-05-27,111,889604
2021-05-28,76,828546
2021-05-29,30,774896
2021-05-30,97,887842
2021-05-31,91,711530
2021-06-01,49,790913
2021-06-02,116,1049046
2021-06-03,104,555623
2021-06-04,24,1259695
2021-06-05,38,1319288
2021-06-06,65,676476
2021-06-07,110,681066
2021-06-08,56,593409
2021-06-09,36,1346858
2021-06-10,82,661664
2021-06-11,84,1242949
2021-06-12,28,1235514
2021-06-13,106,1296254
2021-06-14,50,744540
2021-06-15,62,1319305
2021-06-16,21,648756
2021-06-17,71,801367
2021-06-18,37,524152
2021-06-19,30,1346981
2021-06-20,53,543186
2021-06-21,119,1303954
2021-06-22,120,1319608
2021-06-23,83,868423
2021-06-24,107,1281620
2021-06-25,45,1021459
2021-06-26,98,519657
2021-06-27,104,542608
2021-06-28,84,822396
2021-06-29,37,971934
2021-06-30,116,1186416
2021-07-01,39,741175
2021-07-02,107,1302528
2021-07-03,67,1024405
2021-07-04,67,986411
2021-07-05,69,709219
2021-07-06,93,1235641
2021-07-07,102,649570
2021-07-08,43,792009
2021-07-09,57,1027607
2021-07-10,60,683006
2021-07-11,48,1214260
2021-07-12,102,1151505
2021-07-13,109,565184
2021-07-14,63,1100671
2021-07-15,72,1111466
2021-07-16,99,1142641
2021-07-17,66,1211307
2021-07-18,84,898661
2021-07-19,57,1149539
2021-07-20,51,932122
2021-07-21,63,617532
2021-07-22,73,937726
2021-07-23,47,704905
2021-07-24,22,800883
2021-07-25,79,825684
2021-07-26,107,924971
2021-07-27,44,902245
2021-07-28,79,1069271
2021-07-29,73,1167496
2021-07-30,97,760826
2021-07-31,25,819574
2021-08-01,83,1257872
2021-08-02,23,1116116
2021-08-03,91,622219
2021-08-04,85,1207210
2021-08-05,57,1322906
2021-08-06,44,1071956
2021-08-07,57,1028636
2021-08-08,117,801901
2021-08-09,47,677508
2021-08-10,65,990834
2021-08-11,74,524732
2021-08-12,56,890319
2021-08-13,86,871543
2021-08-14,36,1193791
2021-08-15,46,1312945
2021-08-16,98,641520
2021-08-17,76,939062
2021-08-18,119,770336
2021-08-19,24,1212145
2021-08-20,22,1213621
2021-08-21,31,1307204
2021-08-22,113,829010
2021-08-23,108,528165
2021-08-24,79,881121
2021-08-25,95,1287865
2021-08-26,114,652281
2021-08-27,44,1213881
2021-08-28,28,521696
2021-08-29,21,915366
2021-08-30,83,1175340
2021-08-31,35,951209
2021-09-01,34,937794
2021-09-02,74,566801
2021-09-03,103,1189384
2021-09-04,60,551011
2021-09-05,31,766852
2021-09-06,60,919855
2021-09-07,96,1014698
2021-09-08,112,934644
2021-09-09,116,734227
2021-09-10,40,802973
2021-09-11,86,738681
2021-09-12,111,789162
2021-09-13,116,975555
2021-09-14,49,654227
2021-09-15,78,507558
2021-09-16,114,722124
2021-09-17,45,1162432
2021-09-18,35,548593
2021-09-19,69,864886
2021-09-20,79,1070741
2021-09-21,86,889080
2021-09-22,105,979946
2021-09-23,93,580548
2021-09-24,25,694427
2021-09-25,68,868120
2021-09-26,50,1336511
2021-09-27,45,995346
2021-09-28,82,1194449
2021-09-29,113,590377
2021-09-30,95,762692
2021-10-01,25,1009918
2021-10-02,54,602501
2021-10-03,29,569631
2021-10-04,33,893244
2021-10-05,95,984033
2021-10-06,59,1153001
2021-10-07,100,735307
2021-10-08,116,622399
2021-10-09,26,1019589
2021-10-10,44,500000
2021-10-11,108,1057896
2021-10-12,27,1058769
2021-10-13,42,529760
2021-10-14,27,704231
2021-10-15,104,795845
2021-10-16,79,773606
2021-10-17,83,1061652
2021-10-18,118,1192342
2021-10-19,55,592735
2021-10-20,34,1044903
2021-10-21,83,1084679
2021-10-22,58,592247
2021-10-23,45,574176
2021-10-24,95,807697
2021-10-25,78,954210
2021-10-26,46,939902
2021-10-27,43,709701
2021-10-28,39,1012068
2021-10-29,88,720082
2021-10-30,54,541978
2021-10-31,88,1100671
2021-11-01,119,883167
2021-11-02,96,1238717
2021-11-03,34,872676
2021-11-04,36,1136105
2021-11-05,45,1222435
2021-11-06,78,985843
2021-11-07,24,662950
2021-11-08,51,920435
2021-11-09,45,648103
2021-11-10,34,1309648
2021-11-11,115,978079
2021-11-12,96,1160214
2021-11-13,33,931222
2021-11-14,73,598913
2021-11-15,97,674430
2021-11-16,56,1212587
2021-11-17,70,1003560
2021-11-18,45,891346
2021-11-19,98,1091690
2021-11-20,76,1212172
2021-11-21,73,1272945
2021-11-22,116,663393
2021-11-23,69,823398
2021-11-24,40,871103
2021-11-25,83,512384
2021-11-26,77,1137752
2021-11-27,32,1112868
2021-11-28,41,949879
2021-11-29,120,695629
2021-11-30,118,759480
2021-12-01,80,1225762
2021-12-02,105,1081704
2021-12-03,58,1260076
2021-12-04,95,1053758
2021-12-05,51,772155
2021-12-06,107,532713
2021-12-07,23,1110502
2021-12-08,86,1249715
2021-12-09,90,556397
2021-12-10,103,1182210
2021-12-11,72,938888
2021-12-12,110,691025
2021-12-13,31,731296
2021-12-14,71,992279
2021-12-15,47,769426
2021-12-16,109,1053998
2021-12-17,38,894557
2021-12-18,101,1092786
2021-12-19,109,1097070
2021-12-20,98,1083901
2021-12-21,79,864950
2021-12-22,32,561675
2021-12-23,25,553663
2021-12-24,33,911338
2021-12-25,22,914768
2021-12-26,52,969899
2021-12-27,52,580126
2021-12-28,43,652441
2021-12-29,53,864876
2021-12-30,32,533197
2021-12-31,32,1336422
2022-01-01,40,1346142
2022-01-02,43,517210
2022-01-03,102,1117764
2022-01-04,69,1189863
2022-01-05,107,721469
2022-01-06,116,541412
2022-01-07,81,1339643
2022-01-08,104,1195600
2022-01-09,39,1164311
2022-01-10,31,1105602
2022-01-11,40,1332225
2022-01-12,75,1099295
2022-01-13,20,790529
2022-01-14,29,1217994
2022-01-15,67,508215
2022-01-16,49,735567
2022-01-17,81,1095117
2022-01-18,99,1214989
2022-01-19,23,1289875
2022-01-20,36,1249245
2022-01-21,78,773663
2022-01-22,21,831218
2022-01-23,66,1009755
2022-01-24,62,1163507
2022-01-25,29,751917
2022-01-26,44,903154
2022-01-27,27,507104
2022-01-28,35,1263234
2022-01-29,96,1161911
2022-01-30,56,1239114
2022-01-31,30,705912
2022-02-01,91,1306646
2022-02-02,38,1054359
2022-02-03,89,635577
2022-02-04,106,935819
2022-02-05,61,504764
2022-02-06,42,1184850
2022-02-07,113,1258799
2022-02-08,111,1263193
2022-02-09,114,882680
2022-02-10,45,1039532
2022-02-11,66,500497
2022-02-12,106,785899
2022-02-13,110,688735
2022-02-14,65,1128936
2022-02-15,62,754518
2022-02-16,85,538741
2022-02-17,46,903712
2022-02-18,62,782453
2022-02-19,32,1132704
2022-02-20,36,835681
2022-02-21,33,1039714
2022-02-22,59,1017924
2022-02-23,92,774211
2022-02-24,42,1157576
2022-02-25,57,584858
2022-02-26,59,1313809
2022-02-27,28,1339473
2022-02-28,43,1048633
2022-03-01,55,862833
2022-03-02,35,813639
2022-03-03,36,568531
2022-03-04,27,737128
2022-03-05,103,827742
2022-03-06,61,1228684
2022-03-07,82,1120057
2022-03-08,99,709423
2022-03-09,114,1223350
2022-03-10,30,1253427
2022-03-11,84,591254
2022-03-12,91,1078715
2022-03-13,26,1236670
2022-03-14,43,667908
2022-03-15,53,931928
2022-03-16,34,634716
2022-03-17,39,1262467
2022-03-18,24,1272132
2022-03-19,46,1099766
2022-03-20,46,1215867
2022-03-21,116,500713
2022-03-22,43,638213
2022-03-23,30,918237
2022-03-24,47,820351
2022-03-25,46,570324
2022-03-26,74,1022002
2022-03-27,60,952778
2022-03-28,28,595224
2022-03-29,112,697669
2022-03-30,51,502451
2022-03-31,99,1095753
2022-04-01,94,740401
2022-04-02,97,626589
2022-04-03,100,1135900
2022-04-04,59,914663
2022-04-05,48,655657
2022-04-06,88,993060
2022-04-07,68,694327
2022-04-08,58,1090363
2022-04-09,42,1216446
2022-04-10,98,1264445
2022-04-11,119,861491
2022-04-12,28,1169520
2022-04-13,69,1172586
2022-04-14,75,771949
2022-04-15,110,939453
2022-04-16,84,990666
2022-04-17,57,677256
2022-04-18,98,1152996
2022-04-19,53,748878
2022-04-20,101,911532
2022-04-21,25,1211195
2022-04-22,69,975219
2022-04-23,102,629666
2022-04-24,48,923362
2022-04-25,81,991562
2022-04-26,35,575421
2022-04-27,110,760893
2022-04-28,44,954114
2022-04-29,20,1098684
2022-04-30,54,1098173
2022-05-01,73,1117595
2022-05-02,31,1039566
2022-05-03,99,539039
2022-05-04,53,859647
2022-05-05,62,1114896
2022-05-06,55,1002108
2022-05-07,73,866885
2022-05-08,26,834541
2022-05-09,39,1144766
2022-05-10,58,526958
2022-05-11,65,544675
2022-05-12,93,1210919
2022-05-13,79,911007
2022-05-14,62,1175447
2022-05-15,48,639022
2022-05-16,93,585613
2022-05-17,49,674040
2022-05-18,89,1320219
2022-05-19,27,774283
2022-05-20,73,1300417
2022-05-21,106,1100190
2022-05-22,78,995291
2022-05-23,101,1143902
2022-05-24,45,811078
2022-05-25,27,746856
2022-05-26,114,783048
2022-05-27,71,778026
2022-05-28,99,815872
2022-05-29,80,1305922
2022-05-30,35,1096507
2022-05-31,54,1245555
2022-06-01,64,922366
2022-06-02,90,758763
2022-06-03,37,1147435
2022-06-04,55,814043
2022-06-05,64,620392
2022-06-06,78,1289285
2022-06-07,59,597822
2022-06-08,28,1237830
2022-06-09,118,1022864
2022-06-10,103,826601
2022-06-11,41,563144
2022-06-12,69,634633
2022-06-13,105,555137
2022-06-14,65,895164
2022-06-15,33,775065
2022-06-16,102,1135051
2022-06-17,66,1163626
2022-06-18,108,816893
2022-06-19,24,858192
2022-06-20,53,631977
2022-06-21,56,957100
2022-06-22,35,1273311
2022-06-23,104,521052
2022-06-24,45,1012154
2022-06-25,34,913822
2022-06-26,106,1316341
2022-06-27,78,1189016
2022-06-28,99,879082
2022-06-29,54,944025
2022-06-30,93,1071776
2022-07-01,102,539400
2022-07-02,114,1100543
2022-07-03,94,545517
2022-07-04,113,831911
2022-07-05,50,1101396
2022-07-06,47,811310
2022-07-07,69,558445
2022-07-08,111,1328056
2022-07-09,97,1018083
2022-07-10,34,1109778
2022-07-11,51,1024721
2022-07-12,95,1045180
2022-07-13,108,948544
2022-07-14,91,530020
2022-07-15,96,1062345
2022-07-16,119,1116757
2022-07-17,45,846816
2022-07-18,81,702878
2022-07-19,70,620697
2022-07-20,113,598312
2022-07-21,55,861006
2022-07-22,82,875200
2022-07-23,28,891041
2022-07-24,39,655832
2022-07-25,57,984632
2022-07-26,102,532774
2022-07-27,36,1325196
2022-07-28,66,820895
2022-07-29,61,557224
2022-07-30,44,1045867
2022-07-31,60,529659
2022-08-01,115,804313
2022-08-02,54,798254
2022-08-03,106,572123
2022-08-04,106,1289542
2022-08-05,37,906845
2022-08-06,108,1034545
2022-08-07,82,926809
2022-08-08,61,990842
2022-08-09,50,667638
2022-08-10,58,522942
2022-08-11,80,891862
2022-08-12,37,751952
2022-08-13,23,1321227
2022-08-14,26,1274040
2022-08-15,111,1243946
2022-08-16,45,873269
2022-08-17,106,1194825
2022-08-18,97,1268586
2022-08-19,83,929823
2022-08-20,90,957380
2022-08-21,114,714742
2022-08-22,106,990045
2022-08-23,46,650674
2022-08-24,52,1317950
2022-08-25,25,1207887
2022-08-26,99,731311
2022-08-27,49,1240469
2022-08-28,98,1015819
2022-08-29,61,915849
2022-08-30,105,561446
2022-08-31,51,541649
2022-09-01,32,597861
2022-09-02,101,740530
2022-09-03,27,1303314
2022-09-04,103,981986
2022-09-05,72,575022
2022-09-06,26,1262622
2022-09-07,36,977117
2022-09-08,47,592318
2022-09-09,89,769827
2022-09-10,86,698879
2022-09-11,95,1263475
2022-09-12,112,1203525
2022-09-13,40,714677
2022-09-14,72,1086180
2022-09-15,60,1240011
2022-09-16,53,901691
2022-09-17,57,1290560
2022-09-18,23,771255
2022-09-19,89,786435
2022-09-20,71,872945
2022-09-21,49,1188603
2022-09-22,116,821104
2022-09-23,71,996722
2022-09-24,63,562987
2022-09-25,113,608011
2022-09-26,72,1142968
2022-09-27,76,744714
2022-09-28,116,1096692
2022-09-29,32,1182989
2022-09-30,112,834861
2022-10-01,38,951565
2022-10-02,66,665454
2022-10-03,112,1029257
2022-10-04,71,562220
2022-10-05,83,718954
2022-10-06,66,665055
2022-10-07,62,1288146
2022-10-08,46,1270248
2022-10-09,50,1333767
2022-10-10,109,1181195
2022-10-11,54,756126
2022-10-12,105,749316
2022-10-13,54,1249718
2022-10-14,96,543671
2022-10-15,45,831693
2022-10-16,120,870211
2022-10-17,101,1041428
2022-10-18,43,841135
2022-10-19,61,1130881
2022-10-20,81,860769
2022-10-21,104,608347
2022-10-22,20,1102006
2022-10-23,31,814279
2022-10-24,114,1282753
2022-10-25,94,1037114
2022-10-26,85,1244386
2022-10-27,55,980896
2022-10-28,72,1278762
2022-10-29,92,516778
2022-10-30,62,1280210
2022-10-31,27,1316575
2022-11-01,67,616424
2022-11-02,29,1060732
2022-11-03,107,588932
2022-11-04,50,1181667
2022-11-05,77,540010
2022-11-06,80,1129854
2022-11-07,115,1292836
2022-11-08,52,753373
2022-11-09,45,677906
2022-11-10,77,957181
2022-11-11,49,1022360
2022-11-12,89,799998
2022-11-13,29,748866
2022-11-14,95,730703
2022-11-15,51,918885
2022-11-16,34,779113
2022-11-17,107,531715
2022-11-18,79,733593
2022-11-19,76,1220896
2022-11-20,76,1014030
2022-11-21,106,924549
2022-11-22,107,1156088
2022-11-23,112,577661
2022-11-24,77,838174
2022-11-25,70,1298612
2022-11-26,116,615060
2022-11-27,88,839689
2022-11-28,64,755080
2022-11-29,105,645839
2022-11-30,55,702906
2022-12-01,56,834037
2022-12-02,91,1201463
2022-12-03,100,663870
2022-12-04,74,1158038
2022-12-05,42,1033715
2022-12-06,34,848987
2022-12-07,95,1067031
2022-12-08,60,807788
2022-12-09,70,837797
2022-12-10,116,504685
2022-12-11,81,921320
2022-12-12,42,1226562
2022-12-13,116,880063
2022-12-14,64,902072
2022-12-15,93,734601
2022-12-16,107,519511
2022-12-17,25,768512
2022-12-18,26,1102494
2022-12-19,72,953183
2022-12-20,75,661677
2022-12-21,115,584622
2022-12-22,66,1174492
2022-12-23,89,978323
2022-12-24,77,1144128
2022-12-25,93,700048
2022-12-26,21,762235
2022-12-27,111,967503
2022-12-28,110,570387
2022-12-29,97,996698
2022-12-30,78,931171
2022-12-31,44,549331
2023-01-01,59,1194699
2023-01-02,87,960392
2023-01-03,117,597945
2023-01-04,103,682573
2023-01-05,75,1335060
2023-01-06,69,1232199
2023-01-07,78,629478
2023-01-08,72,1338229
2023-01-09,113,1295546
2023-01-10,108,1006127
2023-01-11,49,531302
2023-01-12,88,858168
2023-01-13,72,847811
2023-01-14,83,823201
2023-01-15,77,919152
2023-01-16,50,817630
2023-01-17,110,1008283
2023-01-18,92,1243518
2023-01-19,74,1040611
2023-01-20,95,579204
2023-01-21,24,1117148
2023-01-22,42,1315045
2023-01-23,31,1236486
2023-01-24,83,784433
2023-01-25,95,587789
2023-01-26,33,1080899
2023-01-27,108,752230
2023-01-28,79,680481
2023-01-29,57,876198
2023-01-30,89,1120227
2023-01-31,80,1116477
2023-02-01,88,763468
2023-02-02,56,846041
2023-02-03,54,1238606
2023-02-04,102,929730
2023-02-05,119,1088811
2023-02-06,51,1180480
2023-02-07,120,591860
2023-02-08,47,1030138
2023-02-09,92,1173594
2023-02-10,79,664303
2023-02-11,64,536248
2023-02-12,39,580225
2023-02-13,89,966354
2023-02-14,61,523625
2023-02-15,87,846599
2023-02-16,40,1279441
2023-02-17,43,1130707
2023-02-18,30,779744
2023-02-19,112,921582
2023-02-20,44,1122806
2023-02-21,66,966465
2023-02-22,47,1154925
2023-02-23,116,1225391
2023-02-24,90,739161
2023-02-25,82,1339024
2023-02-26,113,1275547
2023-02-27,62,973956
2023-02-28,83,898293
2023-03-01,77,989915
2023-03-02,53,1246053
2023-03-03,20,574438
2023-03-04,61,1334516
2023-03-05,87,578117
2023-03-06,29,875865
2023-03-07,66,1280420
2023-03-08,77,954492
2023-03-09,113,831084
2023-03-10,82,929988
2023-03-11,98,1008803
2023-03-12,87,864343
2023-03-13,106,593961
2023-03-14,28,1247843
2023-03-15,58,1295512
2023-03-16,74,838170
2023-03-17,110,843419
2023-03-18,85,1262210
2023-03-19,27,918092
2023-03-20,63,831192
2023-03-21,36,628331
2023-03-22,112,753449
2023-03-23,86,618796
2023-03-24,24,694193
2023-03-25,50,598701
2023-03-26,106,559116
2023-03-27,118,1006445
2023-03-28,60,628048
2023-03-29,62,1129862
2023-03-30,116,1287785
2023-03-31,43,606711
2023-04-01,107,1341387
2023-04-02,113,515323
2023-04-03,35,976164
2023-04-04,103,1135884
2023-04-05,81,1318586
2023-04-06,104,1083264
2023-04-07,45,1092391
2023-04-08,97,588956
2023-04-09,74,867723
2023-04-10,90,1192309
2023-04-11,67,1083265
2023-04-12,39,1235349
2023-04-13,44,829466
2023-04-14,76,717875
2023-04-15,29,1075513
2023-04-16,20,699108
2023-04-17,103,955685
2023-04-18,79,577773
2023-04-19,65,927852
2023-04-20,50,1016476
2023-04-21,116,544735
2023-04-22,107,700012
2023-04-23,76,636492
2023-04-24,22,1161155
2023-04-25,69,954496
2023-04-26,37,856565
2023-04-27,44,883542
2023-04-28,102,983515
2023-04-29,117,1081897
2023-04-30,33,1208807
2023-05-01,82,597025
2023-05-02,62,1068611
2023-05-03,60,976437
2023-05-04,25,1043665
2023-05-05,36,1020431
2023-05-06,77,883033
2023-05-07,97,577476
2023-05-08,34,589931
2023-05-09,120,962259
2023-05-10,110,596018
2023-05-11,27,884047
2023-05-12,42,692185
2023-05-13,60,897147
2023-05-14,103,925492
2023-05-15,37,602114
2023-05-16,111,596554
2023-05-17,95,586815
2023-05-18,82,1215247
2023-05-19,98,892390
2023-05-20,114,1116804
2023-05-21,20,769962
2023-05-22,112,1259759
2023-05-23,66,1221317
2023-05-24,94,705911
2023-05-25,93,1011886
2023-05-26,53,1232859
2023-05-27,69,1273517
2023-05-28,62,1168600
2023-05-29,43,1090736
2023-05-30,95,1349118
2023-05-31,77,833770
2023-06-01,39,994238
2023-06-02,68,837903
2023-06-03,22,1041562
2023-06-04,96,917571
2023-06-05,50,598744
2023-06-06,49,663745
2023-06-07,75,748689
2023-06-08,66,504725
2023-06-09,32,929164
2023-06-10,97,1094305
2023-06-11,118,502740
2023-06-12,26,1096083
2023-06-13,111,1050934
2023-06-14,115,662024
2023-06-15,48,1044846
2023-06-16,47,782882
2023-06-17,83,634421
2023-06-18,101,510961
2023-06-19,85,865457
2023-06-20,45,902763
2023-06-21,67,774952
2023-06-22,53,1332143
2023-06-23,102,762639
2023-06-24,116,1272887
2023-06-25,113,635379
2023-06-26,69,1303256
2023-06-27,48,526607
2023-06-28,59,565900
2023-06-29,103,668261
2023-06-30,113,933553
2023-07-01,90,1069137
2023-07-02,51,797491
2023-07-03,68,1259229
2023-07-04,112,1257178
2023-07-05,92,1027244
2023-07-06,87,1348498
2023-07-07,118,945043
2023-07-08,74,852060
2023-07-09,27,1254817
2023-07-10,63,1020176
2023-07-11,115,1329961
2023-07-12,42,514508
2023-07-13,60,757480
2023-07-14,105,1135334
2023-07-15,116,1016417
2023-07-16,31,1167341
2023-07-17,31,686080
2023-07-18,109,1189824
2023-07-19,83,795046
2023-07-20,60,1100322
2023-07-21,114,1065663
2023-07-22,103,1060785
2023-07-23,76,709852
2023-07-24,76,858459
2023-07-25,96,655552
2023-07-26,77,1178342
2023-07-27,42,1246287
2023-07-28,69,795399
2023-07-29,103,750978
2023-07-30,105,1041091
2023-07-31,27,1186235
2023-08-01,48,690596
2023-08-02,35,1008463
2023-08-03,100,1293898
2023-08-04,32,802034
2023-08-05,60,1028445
2023-08-06,72,1287448
2023-08-07,77,846374
2023-08-08,93,1289194
2023-08-09,119,719549
2023-08-10,87,544670
2023-08-11,28,1345503
2023-08-12,98,1076536
2023-08-13,62,1186375
2023-08-14,69,1040324
2023-08-15,99,556227
2023-08-16,66,1274658
2023-08-17,96,1186482
2023-08-18,41,1202260
2023-08-19,50,621959
2023-08-20,67,933740
2023-08-21,108,1114346
2023-08-22,20,1313038
2023-08-23,67,1342112
2023-08-24,104,1309219
2023-08-25,100,538119
2023-08-26,77,656626
2023-08-27,80,819333
2023-08-28,62,1058536
2023-08-29,80,947279
2023-08-30,76,642851
2023-08-31,60,583952
2023-09-01,78,1244586
2023-09-02,114,1244785
2023-09-03,96,1011549
2023-09-04,110,1176763
2023-09-05,27,828950
2023-09-06,66,754950
2023-09-07,76,667916
2023-09-08,65,1179191
2023-09-09,91,1117965
2023-09-10,36,537237
2023-09-11,105,1345646
2023-09-12,37,781853
2023-09-13,46,547098
2023-09-14,71,615923
2023-09-15,107,896949
2023-09-16,21,826945
2023-09-17,49,928995
2023-09-18,104,1261973
2023-09-19,47,1217388
2023-09-20,99,989900
2023-09-21,87,756369
2023-09-22,96,759876
2023-09-23,114,907593
2023-09-24,114,992983
2023-09-25,46,876167
2023-10-01,106,559116
2024-10-30,13,278200
2024-11-03,1,10000
2024-11-13,11,178000
2024-11-17,7,206000
2024-11-21,422,6903872
2024-11-24,2,125000
2024-11-27,5,210000
2024-11-28,20,400000
2024-11-29,8705,16146048
2024-12-01,50,1250000
2024-12-02,2032,4068000
2024-12-06,9,153000
2024-12-09,3682,16326444
2024-12-11,1550,32037468
2024-12-16,37,1030000
2024-12-25,23,48000
2024-12-26,24,96000
2024-12-27,20,0
2024-12-31,1,12500
2025-01-01,765,9471168
2025-01-02,8656,26894973
2025-01-03,1229,10246460
2025-01-05,16927,28212983
2025-01-06,22,264000
2025-01-07,10,462500
2025-01-08,877,15457654
2025-01-09,296,3994500
2025-01-12,179,6387572
2025-01-13,848,9768020
2025-01-14,41,838000
2025-01-15,13446,46549511
2025-01-16,72,1374312
2025-01-17,21,292500
2025-01-19,2090,32055706
2025-01-20,5395,21786952
2025-01-21,143,972500
2025-01-22,107,1630072
2025-01-23,1625,147170006
2025-01-25,311,3742500
2025-01-26,1678,18890320
2025-01-27,804,9730470
2025-01-28,34,678000
2025-01-30,799,16874408
2025-02-02,14660,79824954
2025-02-04,590,9489484
2025-02-06,757,7750664
2025-02-07,2075,16447416
2025-02-08,1079,13333750
2025-02-19,144,999936
2025-02-20,4377,43067020
2025-02-21,12,432700
2025-02-23,1582,19255056
2025-02-24,6795,4907000
2025-02-25,1485,9245184
2025-02-26,173,2516708
2025-02-27,99,2335765
2025-02-28,1,1120000
2025-03-02,40,942500
2025-03-03,4287,35981144
2025-03-05,639,7385500
2025-03-06,36,347496
2025-03-14,40,1040000
2025-03-16,75,1500000
2025-03-18,4350,7214000
2025-03-20,200,2750000
2025-03-21,638,5946812
2025-03-23,410,2943900
2025-03-24,500,250000
2025-03-25,338,8240959
2025-03-26,295,4812000
2025-03-27,14710,70148508
2025-04-01,600,435000
2025-04-02,550,12575000
2025-04-08,485,13932226
